id_no,unique_number,name_en,name_fr,name_es,category,category_short,criteria_codes,criteria_count,country_en,country_fr,country_es,countries_en,countries_fr,countries_es,country_count,iso_code,udnp_code,region_en,transboundary,latitude,longitude,area_hectares,date_inscribed,site_age_years,in_danger,ever_in_danger,danger_since,danger_status,short_description,justification,unesco_url
1167,1344,Tropical Rainforest Heritage of Sumatra,Patrimoine des forêts tropicales ombrophiles de Sumatra,Patrimonio de los bosques lluviosos tropicales de Sumatra,Natural,N,N7;N9;N10,3,Indonesia,Indonésie,Indonesia,Indonesia,Indonésie,Indonesia,1,id,idn,Asia and the Pacific,False,-2.5,101.5,2595124.0,2004,22,True,True,2011,Y 2011,"The 2.5 million hectare Tropical Rainforest Heritage of Sumatra site comprises three national parks: Gunung Leuser National Park, Kerinci Seblat National Park and Bukit Barisan Selatan National Park. The site holds the greatest potential for long-term conservation of the distinctive and diverse biota of Sumatra, including many endangered species. The protected area is home to an estimated 10,000 plant species, including 17 endemic genera; more than 200 mammal species; and some 580 bird species of which 465 are resident and 21 are endemic. Of the mammal species, 22 are Asian, not found elsewhere in the archipelago and 15 are confined to the Indonesian region, including the endemic Sumatran orang-utan. The site also provides biogeographic evidence of the evolution of the island.","Criterion (vii): The parks that comprise the Tropical Rainforest Heritage of Sumatra are all located on the prominent main spine of the Bukit Barisan Mountains, known as the 'Andes of Sumatra'. Outstanding scenic landscapes abound at all scales. The mountains of each site present prominent mountainous backdrops to the settled and developed lowlands of Sumatra. The combination of the spectacularly beautiful Lake Gunung Tujuh (the highest lake in southeast Asia), the magnificence of the giant Mount Kerinci volcano, numerous small volcanic, coastal and glacial lakes in natural forested settings, fumaroles belching smoke from forested mountains and numerous waterfalls and cave systems in lush rainforest settings, emphazise the outstanding beauty of the Tropical Rainforest Heritage of Sumatra. Criterion (ix): The Tropical Rainforest Heritage of Sumatra represent the most important blocks of forest on the island of Sumatra for the conservation of the biodiversity of both lowland and mountain forests. This once vast island of tropical rainforest, in the space of only 50 years, has been reduced to isolated remnants including those centred on the three nominated sites. The Leuser Ecosystem, including the Gunung Leuser National Park, is by far the largest and most significant forest remnant remaining in Sumatra. All three parks would undoubtedly have been important climatic refugia for species over evolutionary time and have now become critically important refugia for future evolutionary processes. Criterion (x): All three parks that comprise the Tropical Rainforest Heritage of Sumatra are areas of very diverse habitat and exceptional biodiversity. Collectively, the three sites include more than 50% of the total plant diversity of Sumatra. At least 92 local endemic species have been identified in Gunung Leuser National Park. The nomination contains populations of both the world’s largest flower (Rafflesia arnoldi) and the tallest flower (Amorphophallus titanium). The relict lowland forests in the nominated sites are very important for conservation of the plant and animal biodiversity of the rapidly disappearing lowland forests of South East Asia. Similarly, the montane forests, although less threatened, are very important for conservation of the distinctive montane vegetation of the property.",https://whc.unesco.org/en/list/1167/
276,1456,Samarra Archaeological City,Ville archéologique de Samarra,Ciudad arqueológica de Samarra,Cultural,C,C2;C3;C4,3,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,1,iq,irq,Arab States,False,34.34098944,43.82354306,15058.0,2007,19,True,True,2007,Y 2007,"Samarra Archaeological City is the site of a powerful Islamic capital city that ruled over the provinces of the Abbasid Empire extending from Tunisia to Central Asia for a century. Located on both sides of the River Tigris 130 km north of Baghdad, the length of the site from north to south is 41.5 km; its width varying from 8 km to 4 km. It testifies to the architectural and artistic innovations that developed there and spread to the other regions of the Islamic world and beyond. The 9th-century Great Mosque and its spiral minaret are among the numerous remarkable architectural monuments of the site, 80% of which remain to be excavated.",,https://whc.unesco.org/en/list/276/
277,309,Hatra,Hatra,Hatra,Cultural,C,C2;C3;C4;C6,4,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,1,iq,irq,Arab States,False,35.58806,42.71833,323.75,1985,41,True,True,2015,Y 2015,"A large fortified city under the influence of the Parthian Empire and capital of the first Arab Kingdom, Hatra withstood invasions by the Romans in A.D. 116 and 198 thanks to its high, thick walls reinforced by towers. The remains of the city, especially the temples where Hellenistic and Roman architecture blend with Eastern decorative features, attest to the greatness of its civilization.",,https://whc.unesco.org/en/list/277/
1130,1310,Ashur (Qal'at Sherqat),Assour (Qal'at Cherqat),Asur (Qal’at Sherqat),Cultural,C,C3;C4,2,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,1,iq,irq,Arab States,False,35.45666667,43.26111111,70.0,2003,23,True,True,2003,Y 2003,"The ancient city of Ashur is located on the Tigris River in northern Mesopotamia in a specific geo-ecological zone, at the borderline between rain-fed and irrigation agriculture. The city dates back to the 3rd millennium BC. From the 14th to the 9th centuries BC it was the first capital of the Assyrian Empire, a city-state and trading platform of international importance. It also served as the religious capital of the Assyrians, associated with the god Ashur. The city was destroyed by the Babylonians, but revived during the Parthian period in the 1st and 2nd centuries AD.","Criterion iii: Founded in the 3rd millennium BCE, the most important role of Ashur was from the 14th to 9th century BCE when it was the first capital of the Assyrian empire. Ashur was also the religious capital of Assyrians, and the place for crowning and burial of its kings. Criterion iv: The excavated remains of the public and residential buildings of Ashur provide an outstanding record of the evolution of building practice from the Sumerian and Akkadian period through the Assyrian empire, as well as including the short revival during the Parthian period.",https://whc.unesco.org/en/list/1130/
148,165,Old City of Jerusalem and its Walls,Vieille ville de Jérusalem et ses remparts,Ciudad vieja de Jerusalén y sus murallas,Cultural,C,C2;C3;C6,3,Jerusalem (Site proposed by Jordan),Jérusalem (site proposé par la Jordanie),Jerusalem (Site proposed by Jordan),Jerusalem (Site proposed by Jordan),Jérusalem (site proposé par la Jordanie),Jerusalem (Site proposed by Jordan),1,,,Arab States,False,31.77777778,35.23166667,0.0,1981,45,True,True,1982,Y 1982,"As a holy city for Judaism, Christianity and Islam, Jerusalem has always been of great symbolic importance. Among its 220 historic monuments, the Dome of the Rock stands out: built in the 7th century, it is decorated with beautiful geometric and floral motifs. It is recognized by all three religions as the site of Abraham's sacrifice. The Wailing Wall delimits the quarters of the different religious communities, while the Resurrection rotunda in the Church of the Holy Sepulchre houses Christ's tomb.",,https://whc.unesco.org/en/list/148/
801,947,Lake Turkana National Parks,Parcs nationaux du Lac Turkana,Parques nacionales del Lago Turkana,Natural,N,N8;N10,2,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,1,ke,ken,Africa,False,3.051305556,36.50366667,161485.0,1997,29,True,True,2018,Y 2018,"The most saline of Africa's large lakes, Turkana is an outstanding laboratory for the study of plant and animal communities. The three National Parks serve as a stopover for migrant waterfowl and are major breeding grounds for the Nile crocodile, hippopotamus and a variety of venomous snakes. The Koobi Fora deposits, rich in mammalian, molluscan and other fossil remains, have contributed more to the understanding of paleo-environments than any other site on the continent.",The Committee inscribed this property on the basis of natural criteria (viii) and (x) for the discoveries of mammal fossil remains in the site which led to the scientific reconstruction of the palaeo-environment of the entire Turkana Lake basin of the Quarternary Period. The Lake Turkana ecosystem with its diverse bird life and desert environment offers an exceptional laboratory for studies of plant and animal communities.,https://whc.unesco.org/en/list/801/
1702,2518,Rachid Karami International Fair-Tripoli,Foire internationale Rachid Karameh-Tripoli,Feria internacional Rachid Karameh de Trípoli,Cultural,C,C2;C4,2,Lebanon,Liban,Líbano,Lebanon,Liban,Líbano,1,lb,lbn,Arab States,False,34.43777778,35.82416667,72.0,2023,3,True,True,2023,Y 2023,"Located in northern Lebanon, the Rachid Karameh International Fair of Tripoli was designed in 1962 by the Brazilian architect Oscar Niemeyer on a 70-hectare site located between the historic centre of Tripoli and the Al Mina port. The main building of the fair consists of a huge covered hall in the shape of a boomerang of 750 metres by 70 metres, a flexible space for countries to install exhibitions. The fair was the flagship project of Lebanon's modernization policy in the 1960s. The close collaboration between Oscar Niemeyer, the architect of the project, and Lebanese engineers gave rise to a remarkable example of exchange between different continents. In terms of scale and wealth of formal expression, it is one of the major representative works of 20 th century modern architecture in the Arab Near East.",,https://whc.unesco.org/en/list/1702/
183,203,Archaeological Site of Leptis Magna,Site archéologique de Leptis Magna,Sitio arqueológico de Leptis Magna,Cultural,C,C1;C2;C3,3,Libya,Libye,Libia,Libya,Libye,Libia,1,ly,lby,Arab States,False,32.63833,14.29306,387.485,1982,44,True,True,2016,Y 2016,"Leptis Magna was enlarged and embellished by Septimius Severus, who was born there and later became emperor. It was one of the most beautiful cities of the Roman Empire, with its imposing public monuments, harbour, market-place, storehouses, shops and residential districts.",,https://whc.unesco.org/en/list/183/
184,204,Archaeological Site of Sabratha,Site archéologique de Sabratha,Sitio arqueológico de Sabratha,Cultural,C,C3,1,Libya,Libye,Libia,Libya,Libye,Libia,1,ly,lby,Arab States,False,32.80528,12.485,90.534,1982,44,True,True,2016,Y 2016,"A Phoenician trading-post that served as an outlet for the products of the African hinterland, Sabratha was part of the short-lived Numidian Kingdom of Massinissa before being Romanized and rebuilt in the 2nd and 3rd centuries A.D.",,https://whc.unesco.org/en/list/184/
190,211,Archaeological Site of Cyrene,Site archéologique de Cyrène,Sitio arqueológico de Cirene,Cultural,C,C2;C3;C6,3,Libya,Libye,Libia,Libya,Libye,Libia,1,ly,lby,Arab States,False,32.825,21.85833,131.675,1982,44,True,True,2016,Y 2016,"A colony of the Greeks of Thera, Cyrene was one of the principal cities in the Hellenic world. It was Romanized and remained a great capital until the earthquake of 365. A thousand years of history is written into its ruins, which have been famous since the 18th century.",,https://whc.unesco.org/en/list/190/
287,321,Rock-Art Sites of Tadrart Acacus,Sites rupestres du Tadrart Acacus,Sitio rupestre de Tadrart Acacus,Cultural,C,C3,1,Libya,Libye,Libia,Libya,Libye,Libia,1,ly,lby,Arab States,False,24.83333,10.33333,3923961.0,1985,41,True,True,2016,Y 2016,"On the borders of Tassili N'Ajjer in Algeria, also a World Heritage site, this rocky massif has thousands of cave paintings in very different styles, dating from 12,000 B.C. to A.D. 100. They reflect marked changes in the fauna and flora, and also the different ways of life of the populations that succeeded one another in this region of the Sahara.",,https://whc.unesco.org/en/list/287/
116,127,Old Towns of Djenné,Villes anciennes de Djenné,Ciudades antiguas de Djenné,Cultural,C,C3;C4,2,Mali,Mali,Malí,Mali,Mali,Malí,1,ml,mli,Africa,False,13.90639,-4.555,0.0,1988,38,True,True,2016,Y 2016,"Inhabited since 250 B.C., Djenné became a market centre and an important link in the trans-Saharan gold trade. In the 15th and 16th centuries, it was one of the centres for the propagation of Islam. Its traditional houses, of which nearly 2,000 have survived, are built on hillocks ( toguere ) as protection from the seasonal floods.",,https://whc.unesco.org/en/list/116/
119,131,Timbuktu,Tombouctou,Tombuctú,Cultural,C,C2;C4;C5,3,Mali,Mali,Malí,Mali,Mali,Malí,1,ml,mli,Africa,False,16.77333333,-2.999444444,0.0,1988,38,True,True,2012,Y 2012 P 1990-2005,"Home of the prestigious Koranic Sankore University and other madrasas , Timbuktu was an intellectual and spiritual capital and a centre for the propagation of Islam throughout Africa in the 15th and 16th centuries. Its three great mosques, Djingareyber, Sankore and Sidi Yahia, recall Timbuktu's golden age. Although continuously restored, these monuments are today under threat from desertification.",,https://whc.unesco.org/en/list/119/
1139,1320,Tomb of Askia,Tombeau des Askia,Tumba de los Askia,Cultural,C,C2;C3;C4,3,Mali,Mali,Malí,Mali,Mali,Malí,1,ml,mli,Africa,False,16.2898,-0.04456,4.24,2004,22,True,True,2012,Y 2012,"The dramatic 17-m pyramidal structure of the Tomb of Askia was built by Askia Mohamed, the Emperor of Songhai, in 1495 in his capital Gao. It bears testimony to the power and riches of the empire that flourished in the 15th and 16th centuries through its control of the trans-Saharan trade, notably in salt and gold. It is also a fine example of the monumental mud-building traditions of the West African Sahel. The complex, including the pyramidal tomb, two flat-roofed mosque buildings, the mosque cemetery and the open-air assembly ground, was built when Gao became the capital of the Songhai Empire and after Askia Mohamed had returned from Mecca and made Islam the official religion of the empire.",,https://whc.unesco.org/en/list/1139/
